TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
43,1 2 3 4 5 6 7 8,1,43,CPLD,/run/devmap/xcvrs/xcvr_ctrl_43/xcvr_reset_43,1,0,/run/devmap/xcvrs/xcvr_ctrl_43/xcvr_present_43,1,0,43,I2C,/run/devmap/xcvrs/xcvr_io_43,,,,
44,1 2 3 4 5 6 7 8,1,44,CPLD,/run/devmap/xcvrs/xcvr_ctrl_44/xcvr_reset_44,1,0,/run/devmap/xcvrs/xcvr_ctrl_44/xcvr_present_44,1,0,44,I2C,/run/devmap/xcvrs/xcvr_io_44,,,,
45,1 2 3 4 5 6 7 8,1,45,CPLD,/run/devmap/xcvrs/xcvr_ctrl_45/xcvr_reset_45,1,0,/run/devmap/xcvrs/xcvr_ctrl_45/xcvr_present_45,1,0,45,I2C,/run/devmap/xcvrs/xcvr_io_45,,,,
46,1 2 3 4 5 6 7 8,1,46,CPLD,/run/devmap/xcvrs/xcvr_ctrl_46/xcvr_reset_46,1,0,/run/devmap/xcvrs/xcvr_ctrl_46/xcvr_present_46,1,0,46,I2C,/run/devmap/xcvrs/xcvr_io_46,,,,
47,1 2 3 4 5 6 7 8,1,47,CPLD,/run/devmap/xcvrs/xcvr_ctrl_47/xcvr_reset_47,1,0,/run/devmap/xcvrs/xcvr_ctrl_47/xcvr_present_47,1,0,47,I2C,/run/devmap/xcvrs/xcvr_io_47,,,,
48,1 2 3 4 5 6 7 8,1,48,CPLD,/run/devmap/xcvrs/xcvr_ctrl_48/xcvr_reset_48,1,0,/run/devmap/xcvrs/xcvr_ctrl_48/xcvr_present_48,1,0,48,I2C,/run/devmap/xcvrs/xcvr_io_48,,,,
49,1 2 3 4 5 6 7 8,1,49,CPLD,/run/devmap/xcvrs/xcvr_ctrl_49/xcvr_reset_49,1,0,/run/devmap/xcvrs/xcvr_ctrl_49/xcvr_present_49,1,0,49,I2C,/run/devmap/xcvrs/xcvr_io_49,,,,
50,1 2 3 4 5 6 7 8,1,50,CPLD,/run/devmap/xcvrs/xcvr_ctrl_50/xcvr_reset_50,1,0,/run/devmap/xcvrs/xcvr_ctrl_50/xcvr_present_50,1,0,50,I2C,/run/devmap/xcvrs/xcvr_io_50,,,,
51,1 2 3 4 5 6 7 8,1,51,CPLD,/run/devmap/xcvrs/xcvr_ctrl_51/xcvr_reset_51,1,0,/run/devmap/xcvrs/xcvr_ctrl_51/xcvr_present_51,1,0,51,I2C,/run/devmap/xcvrs/xcvr_io_51,,,,
52,1 2 3 4 5 6 7 8,1,52,CPLD,/run/devmap/xcvrs/xcvr_ctrl_52/xcvr_reset_52,1,0,/run/devmap/xcvrs/xcvr_ctrl_52/xcvr_present_52,1,0,52,I2C,/run/devmap/xcvrs/xcvr_io_52,,,,
